,№,text,target
0,1,"Один   муж   привез   на   обследование   свою   жену.   После многочисленных анализов врач остался один на  один  с  мужем  и сказал:  ""У  Вашей  жены  одно  из  двух:  либо  склероз,  либо гонорея"". Муж спрашивает:""И как же  мне  узнать  что  именно?"". Врач советует:""Выбрось ее из машины по дороге домой, если домой вернется - ни в коем случае не сношаться!"".",0
1,2,"Вовочка  самым  злостным  образом  прогуливал  школу.  Его
учительнице сие безобразие  надоело,  и  она  решила  проведать
родителей и, заодно, питомца.
     Приходит  по  адресу  -  там хоромы немеряные, от ворот до
входа ковры простелены. Стучит в  дверь...  Открывает  швейцар,
вежливый   до  неприличия.  За  ним  просматриваются  мраморные
лестницы, картины в подлинниках.
     Училка, смущенная, тихо спрашивает:
     - А В-в-вовочка д-дома?
     Швейцар ведет ее по дому к Вовочкиной двери. Стучит:
     - Вольдемар! К Вам дама!
     - ПИЗДИШЬ!
     Характерным жестом поправляя бабочку:
     - БЛЯ буду-с!",1
2,3,"Пациент   пришел  к  доктору  и  говорит:  ""Доктор,  мне  жена изменяет, а рога не растут"".  Доктор: ""Да они и не должны расти, это все сказки...""  Пациент: ""А Вы уверены?""  Доктор: ""Абсолютно""  Пациент: ""Ну спасибо, утешили, а то я думал кальция не хватает"".",0
3,4,"- Здраствуйте, я мать Сидорова Вовы, вы меня вызывали?
         -    Здраствуйте,    любезнейшая    Ольга    Петровна,
присаживайтесь, милости прошу. Ваш сын в последнее  время,  как
бы   это   поточнее   выразиться,..  какой-то  лоханутый  стал,
тормозной. На  уроках  за  базар  не  отвечает,  гонит  что-то,
исполняет иногда, а временами вообще ни о чем, вы извините меня
ради бога!..",1
4,5,"Одному  заболевшему  старичку  назначили противовоспалительные свечи. Через день старик вернулся и говорит: ""Ем я ем эти  Ваши свечи - никакого проку"".  Врач (удивленно): Так Вы их что, едите?  Старичек (ехидно): Нет, в жопу сую.",0
5,6,"Вовочка  утром  идет  в  спальню  к  родителям,  но дерь
заперта.
        Вовочка  смотрит  в  замочную  скважину,  там  родители
занимаются любовью. С угрюмым видом он возвращается к себе:
       -  И  эти  люди!!! И эти люди запрещают мне ковыряться в
носу!!!",1
6,7,"На медосмотре врач замечает у мужчины лобковых вшей.  Доктор: Вы знаете что у Вас лобковые вши?  Пациент: Знаю.  Доктор: А чем Вы их лечите?  Пациент: Ничем, они у меня не болеют.",0
7,8,"Марья  Ивановна  раздала анкеты. Вовочка честно написал:
""Отец - инженер, мать - проститутка"". Марья Ивановна вызвала  в
школу  отца  Вовочки. ""Все верно,""- сказал отец. Марья Ивановна
расплакалась и побежала к директору школы. ""Мамы всякие  нужны,
мамы  всякие  важны.""-  процитировал  директор  и записал Вовин
адрес в записную книжку.",1
8,9,"Врач после осмотра пациентки говорит ей:  У  Вас  головные  боли, желудок не в порядке, высокое кровяное давление. Простите, сколько Вам лет?  - Двадцать пять  - И значительная потеря памяти, - добавляет врач.",0
9,10,"-  Ты  почему  мне  грубишь, Вовочка? Я тебе отец или не
отец?
      - Ну ты задаешь ребусы, старик! Я то откуда знаю?",1
