"BehaviorSpace results (NetLogo 6.2.0)"
"MushroomHunt.nlogo"
"experiment"
"09/23/2021 09:49:16:259 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","num","num-mushroom","p","rad-mushroom","[step]","[gathered] of one-of turtles"
"3","4","10","50","4","1000","2"
"4","4","10","50","4","1000","1"
"2","4","10","50","4","1000","4"
"5","4","10","50","4","1000","1"
"6","4","10","50","5","1000","1"
"7","4","10","50","5","1000","0"
"8","4","10","50","5","1000","1"
"9","4","10","50","5","1000","2"
"10","4","10","50","5","1000","1"
"11","4","10","50","6","1000","0"
"13","4","10","50","6","1000","3"
"14","4","10","50","6","1000","1"
"12","4","10","50","6","1000","4"
"15","4","10","50","6","1000","2"
"17","4","10","50","7","1000","4"
"16","4","10","50","7","1000","0"
"18","4","10","50","7","1000","4"
"19","4","10","50","7","1000","7"
"20","4","10","50","7","1000","3"
"21","5","10","50","4","1000","3"
"23","5","10","50","4","1000","2"
"22","5","10","50","4","1000","1"
"24","5","10","50","4","1000","6"
"25","5","10","50","4","1000","4"
"27","5","10","50","5","1000","1"
"26","5","10","50","5","1000","0"
"28","5","10","50","5","1000","6"
"29","5","10","50","5","1000","0"
"30","5","10","50","5","1000","2"
"31","5","10","50","6","1000","3"
"32","5","10","50","6","1000","4"
"33","5","10","50","6","1000","5"
"35","5","10","50","6","1000","5"
"36","5","10","50","7","1000","0"
"34","5","10","50","6","1000","0"
"37","5","10","50","7","1000","2"
"38","5","10","50","7","1000","0"
"39","5","10","50","7","1000","3"
"40","5","10","50","7","1000","7"
"43","6","10","50","4","1000","0"
"42","6","10","50","4","1000","5"
"41","6","10","50","4","1000","6"
"44","6","10","50","4","1000","5"
"45","6","10","50","4","1000","3"
"46","6","10","50","5","1000","1"
"47","6","10","50","5","1000","5"
"48","6","10","50","5","1000","0"
"49","6","10","50","5","1000","1"
"50","6","10","50","5","1000","12"
"51","6","10","50","6","1000","2"
"52","6","10","50","6","1000","8"
"53","6","10","50","6","1000","7"
"54","6","10","50","6","1000","6"
"55","6","10","50","6","1000","1"
"57","6","10","50","7","1000","5"
"59","6","10","50","7","1000","8"
"56","6","10","50","7","1000","3"
"58","6","10","50","7","1000","11"
"62","7","10","50","4","1000","5"
"60","6","10","50","7","1000","5"
"63","7","10","50","4","1000","7"
"61","7","10","50","4","1000","7"
"64","7","10","50","4","1000","2"
"65","7","10","50","4","1000","3"
"66","7","10","50","5","1000","3"
"67","7","10","50","5","1000","10"
"68","7","10","50","5","1000","4"
"69","7","10","50","5","1000","9"
"70","7","10","50","5","1000","2"
"71","7","10","50","6","1000","1"
"72","7","10","50","6","1000","4"
"74","7","10","50","6","1000","6"
"75","7","10","50","6","1000","1"
"76","7","10","50","7","1000","3"
"73","7","10","50","6","1000","5"
"77","7","10","50","7","1000","2"
"79","7","10","50","7","1000","6"
"78","7","10","50","7","1000","2"
"80","7","10","50","7","1000","3"
"1","4","10","50","4","1000","3"
