"BehaviorSpace results (NetLogo 6.2.0)"
"Fire Simple Extension 2.nlogo"
"dependency-between-parameters"
"10/13/2021 11:12:41:657 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","probability-of-felling","count-of-felling-points","probability-of-spread","west-wind-speed","width-of-felling","south-wind-speed","felling-strategy","[step]","((count patches with [shade-of? pcolor red]) / initial-trees) * 100"
"3","20","50","20","75","-20","5","-20","Default","4","2.2055896170077234"
"4","20","50","20","75","-20","5","-20","Default","4","2.3235457945412588"
"2","20","50","20","75","-20","5","-20","Default","3","2.287787945724203"
"1","20","50","20","75","-20","5","-20","Default","4","2.3807608783077296"
"5","20","50","20","75","-20","5","-20","Default","5","2.272546048959413"
"6","20","50","20","75","-20","5","-20","Default","6","2.300699863245113"
"10","20","50","20","75","-20","5","-20","Default","4","2.271257678629163"
"9","20","50","20","75","-20","5","-20","Default","4","2.2313187254193756"
"7","20","50","20","75","-20","5","-20","Default","4","2.2388059701492535"
"8","20","50","20","75","-20","5","-20","Default","3","2.283508884779288"
"11","20","50","20","75","-20","5","-20","X-lines","4","2.7238879090730945"
"12","20","50","20","75","-20","5","-20","X-lines","6","2.6861908456167574"
"13","20","50","20","75","-20","5","-20","X-lines","3","2.6963657678780772"
"14","20","50","20","75","-20","5","-20","X-lines","4","2.7113702623906706"
"17","20","50","20","75","-20","5","-20","X-lines","4","2.7783251231527095"
"16","20","50","20","75","-20","5","-20","X-lines","4","2.656509424748511"
"15","20","50","20","75","-20","5","-20","X-lines","4","2.754026645456353"
"18","20","50","20","75","-20","5","-20","X-lines","5","2.8925619834710745"
"19","20","50","20","75","-20","5","-20","X-lines","4","2.7495107632093934"
"20","20","50","20","75","-20","5","-20","X-lines","5","2.783975167329518"
"21","20","50","20","75","-20","5","-20","Y-lines","4","2.7261220913250903"
"22","20","50","20","75","-20","5","-20","Y-lines","4","2.8374307647458945"
"23","20","50","20","75","-20","5","-20","Y-lines","5","2.765465407592985"
"24","20","50","20","75","-20","5","-20","Y-lines","4","2.7144094715564537"
"26","20","50","20","75","-20","5","-20","Y-lines","3","2.5625978090766823"
"27","20","50","20","75","-20","5","-20","Y-lines","4","2.7612083894554553"
"25","20","50","20","75","-20","5","-20","Y-lines","6","2.765814910517753"
"28","20","50","20","75","-20","5","-20","Y-lines","3","2.8147141609240025"
"30","20","50","20","75","-20","5","-20","Y-lines","3","2.854359473940575"
"29","20","50","20","75","-20","5","-20","Y-lines","3","2.8044792389257753"
"31","20","50","20","75","-20","5","-20","XY-lines","3","3.258056927781698"
"33","20","50","20","75","-20","5","-20","XY-lines","3","3.2582938388625595"
"32","20","50","20","75","-20","5","-20","XY-lines","3","3.19683908045977"
"34","20","50","20","75","-20","5","-20","XY-lines","4","3.2846715328467155"
"35","20","50","20","75","-20","5","-20","XY-lines","4","3.34051724137931"
"36","20","50","20","75","-20","5","-20","XY-lines","3","3.295010074671092"
"38","20","50","20","75","-20","5","-20","XY-lines","9","3.3645955451348186"
"37","20","50","20","75","-20","5","-20","XY-lines","4","3.3364996437900736"
"39","20","50","20","75","-20","5","-20","XY-lines","3","3.3455059488750147"
"40","20","50","20","75","-20","5","-20","XY-lines","7","3.3002915451895043"
"41","20","50","20","75","-20","5","-20","Square","3","2.4288747346072186"
"44","20","50","20","75","-20","5","-20","Square","4","2.4239298607529656"
"43","20","50","20","75","-20","5","-20","Square","3","2.3442062234086927"
"45","20","50","20","75","-20","5","-20","Square","4","2.4203170274416226"
"42","20","50","20","75","-20","5","-20","Square","5","2.5098848203541344"
"46","20","50","20","75","-20","5","-20","Square","4","2.398429498122226"
"48","20","50","20","75","-20","5","-20","Square","4","2.487646958596013"
"47","20","50","20","75","-20","5","-20","Square","4","2.4063718013895947"
