"BehaviorSpace results (NetLogo 6.2.0)"
"Fire Simple Extension 2.nlogo"
"probability-spread-to-westbound"
"10/12/2021 23:40:13:667 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","probability-of-spread","west-wind-speed","south-wind-speed","[step]","is-spread-to-westbound"
"4","0","90","-20","-20","1","false"
"1","0","90","-20","-20","1","false"
"3","0","90","-20","-20","1","false"
"2","0","90","-20","-20","1","false"
"6","0","90","-20","-20","1","false"
"5","0","90","-20","-20","1","false"
"7","0","90","-20","-20","1","false"
"8","0","90","-20","-20","1","false"
"9","0","90","-20","-20","1","false"
"10","0","90","-20","-20","1","false"
"11","0","90","-20","-20","1","false"
"12","0","90","-20","-20","1","false"
"13","0","90","-20","-20","1","false"
"14","0","90","-20","-20","1","false"
"15","0","90","-20","-20","1","false"
"16","0","90","-20","-20","1","false"
"17","0","90","-20","-20","1","false"
"18","0","90","-20","-20","1","false"
"19","0","90","-20","-20","1","false"
"20","0","90","-20","-20","1","false"
"21","0","90","-20","-20","1","false"
"22","0","90","-20","-20","1","false"
"23","0","90","-20","-20","1","false"
"24","0","90","-20","-20","1","false"
"25","0","90","-20","-20","1","false"
"26","0","90","-20","-20","1","false"
"27","0","90","-20","-20","1","false"
"28","0","90","-20","-20","1","false"
"30","0","90","-20","-20","1","false"
"29","0","90","-20","-20","1","false"
"31","0","90","-20","-20","1","false"
"32","0","90","-20","-20","1","false"
"33","0","90","-20","-20","1","false"
"34","0","90","-20","-20","1","false"
"35","0","90","-20","-20","1","false"
"36","0","90","-20","-20","1","false"
"37","0","90","-20","-20","1","false"
"38","0","90","-20","-20","1","false"
"39","0","90","-20","-20","1","false"
"40","0","90","-20","-20","1","false"
"41","0","90","-20","-20","1","false"
"42","0","90","-20","-20","1","false"
"44","0","90","-20","-20","1","false"
"43","0","90","-20","-20","1","false"
"45","0","90","-20","-20","1","false"
"46","0","90","-20","-20","1","false"
"47","0","90","-20","-20","1","false"
"48","0","90","-20","-20","1","false"
"49","0","90","-20","-20","1","false"
"50","0","90","-20","-20","1","false"
"52","0","90","-20","0","1","false"
"51","0","90","-20","0","1","false"
"53","0","90","-20","0","1","false"
"54","0","90","-20","0","1","false"
"55","0","90","-20","0","1","false"
"56","0","90","-20","0","1","false"
"57","0","90","-20","0","1","false"
"58","0","90","-20","0","1","false"
"59","0","90","-20","0","1","false"
"60","0","90","-20","0","1","false"
"61","0","90","-20","0","1","false"
"62","0","90","-20","0","1","false"
"63","0","90","-20","0","1","false"
"64","0","90","-20","0","1","false"
"65","0","90","-20","0","1","false"
"66","0","90","-20","0","1","false"
"67","0","90","-20","0","1","false"
"69","0","90","-20","0","1","false"
"68","0","90","-20","0","1","false"
"70","0","90","-20","0","1","false"
"71","0","90","-20","0","1","false"
"72","0","90","-20","0","1","false"
"73","0","90","-20","0","1","false"
"74","0","90","-20","0","1","false"
"75","0","90","-20","0","1","false"
"76","0","90","-20","0","1","false"
"77","0","90","-20","0","1","false"
"78","0","90","-20","0","1","false"
"79","0","90","-20","0","1","false"
"80","0","90","-20","0","1","false"
"81","0","90","-20","0","1","false"
"83","0","90","-20","0","1","false"
"82","0","90","-20","0","1","false"
"85","0","90","-20","0","1","false"
"84","0","90","-20","0","1","false"
"86","0","90","-20","0","1","false"
"87","0","90","-20","0","1","false"
"88","0","90","-20","0","1","false"
"89","0","90","-20","0","1","false"
"90","0","90","-20","0","1","false"
"91","0","90","-20","0","1","false"
"92","0","90","-20","0","1","false"
"93","0","90","-20","0","1","false"
"94","0","90","-20","0","1","false"
"95","0","90","-20","0","1","false"
"96","0","90","-20","0","1","false"
"97","0","90","-20","0","1","false"
"98","0","90","-20","0","1","false"
"100","0","90","-20","0","1","false"
"99","0","90","-20","0","1","false"
"101","0","90","-20","20","1","false"
"102","0","90","-20","20","1","false"
"103","0","90","-20","20","1","false"
"104","0","90","-20","20","1","false"
"106","0","90","-20","20","1","false"
"107","0","90","-20","20","1","false"
"105","0","90","-20","20","1","false"
"108","0","90","-20","20","1","false"
"109","0","90","-20","20","1","false"
"110","0","90","-20","20","1","false"
"112","0","90","-20","20","1","false"
"111","0","90","-20","20","1","false"
"113","0","90","-20","20","1","false"
"114","0","90","-20","20","1","false"
"115","0","90","-20","20","1","false"
"116","0","90","-20","20","1","false"
"117","0","90","-20","20","1","false"
"118","0","90","-20","20","1","false"
"119","0","90","-20","20","1","false"
"120","0","90","-20","20","1","false"
"122","0","90","-20","20","1","false"
"121","0","90","-20","20","1","false"
"123","0","90","-20","20","1","false"
"124","0","90","-20","20","1","false"
"125","0","90","-20","20","1","false"
"127","0","90","-20","20","1","false"
"126","0","90","-20","20","1","false"
"128","0","90","-20","20","1","false"
"129","0","90","-20","20","1","false"
"130","0","90","-20","20","1","false"
"131","0","90","-20","20","1","false"
"132","0","90","-20","20","1","false"
"133","0","90","-20","20","1","false"
"134","0","90","-20","20","1","false"
"135","0","90","-20","20","1","false"
"137","0","90","-20","20","1","false"
"136","0","90","-20","20","1","false"
"138","0","90","-20","20","1","false"
"139","0","90","-20","20","1","false"
"140","0","90","-20","20","1","false"
"141","0","90","-20","20","1","false"
"143","0","90","-20","20","1","false"
"142","0","90","-20","20","1","false"
"144","0","90","-20","20","1","false"
"145","0","90","-20","20","1","false"
"146","0","90","-20","20","1","false"
"147","0","90","-20","20","1","false"
"148","0","90","-20","20","1","false"
"149","0","90","-20","20","1","false"
"150","0","90","-20","20","1","false"
"151","0","90","0","-20","1","false"
"152","0","90","0","-20","1","false"
"154","0","90","0","-20","1","false"
"153","0","90","0","-20","1","false"
"155","0","90","0","-20","1","false"
"156","0","90","0","-20","1","false"
"157","0","90","0","-20","1","false"
"159","0","90","0","-20","1","false"
"158","0","90","0","-20","1","false"
"160","0","90","0","-20","1","false"
"161","0","90","0","-20","1","false"
"162","0","90","0","-20","1","false"
"163","0","90","0","-20","1","false"
"164","0","90","0","-20","1","false"
"165","0","90","0","-20","1","false"
"166","0","90","0","-20","1","false"
"167","0","90","0","-20","1","false"
"169","0","90","0","-20","1","false"
"170","0","90","0","-20","1","false"
"168","0","90","0","-20","1","false"
"171","0","90","0","-20","1","false"
"172","0","90","0","-20","1","false"
