A	0															
B	431	0														
C	611	185	0													
D	515	88	170	0												
E	535	108	205	47	0											
F	232	198	378	282	302	0										
G	595	206	78	210	245	398	0									
G	126	298	478	381	402	99	466	0								
I	159	407	587	491	511	209	608	133	0							
J	146	297	477	381	401	98	497	46	102	0						
K	461	153	333	237	205	228	353	328	438	327	0					
L	360	135	283	233	253	173	264	231	382	272	223	0				
M	106	456	636	540	560	258	657	158	65	172	488	431	0			
N	335	115	264	220	240	123	271	206	333	222	168	61	382	0		
O	358	102	282	185	205	125	302	225	335	224	105	130	383	75	0	
P	546	120	60	120	155	313	79	413	523	412	268	190	571	199	216	0
Q	352	89	269	172	193	119	289	219	329	218	125	99	378	44	35	204	0						
R	237	202	350	300	320	57	352	108	241	152	268	142	268	93	175	285	144	0					
S	497	176	169	233	268	285	171	368	494	384	308	151	543	173	242	115	185	254	0				
T	402	55	196	146	166	190	217	273	400	289	177	93	449	73	109	131	70	160	120	0			
U	701	274	287	196	234	468	364	568	678	567	423	419	726	406	370	312	359	486	425	331	0		
V	630	203	216	125	162	397	292	496	607	496	352	348	655	335	300	241	287	414	354	260	78	0	
W	376	86	234	184	204	164	255	247	374	263	159	67	422	35	79	169	37	134	148	44	370	299	0
