Birth	Death	Group	count
Jan	Jan	1	2
Feb	Jan	1	3
Mar	Jan	1	2
Apr	Jan	1	0
May	Jan	1	1
Jun	Jan	1	4
Jul	Jan	1	5
Aug	Jan	1	4
Sep	Jan	1	1
Oct	Jan	1	2
Nov	Jan	1	3
Dec	Jan	1	1
Jan	Feb	1	6
Feb	Feb	1	4
Mar	Feb	1	4
Apr	Feb	1	3
May	Feb	1	3
Jun	Feb	1	1
Jul	Feb	1	2
Aug	Feb	1	3
Sep	Feb	1	4
Oct	Feb	1	5
Nov	Feb	1	6
Dec	Feb	1	5
Jan	Mar	1	7
Feb	Mar	1	1
Mar	Mar	1	7
Apr	Mar	1	0
May	Mar	1	3
Jun	Mar	1	0
Jul	Mar	1	5
Aug	Mar	1	4
Sep	Mar	1	4
Oct	Mar	1	7
Nov	Mar	1	2
Dec	Mar	1	3
Jan	Apr	1	4
Feb	Apr	1	3
Mar	Apr	1	3
Apr	Apr	1	2
May	Apr	1	2
Jun	Apr	1	2
Jul	Apr	1	1
Aug	Apr	1	3
Sep	Apr	1	3
Oct	Apr	1	2
Nov	Apr	1	4
Dec	Apr	1	4
Jan	May	1	3
Feb	May	1	4
Mar	May	1	3
Apr	May	1	4
May	May	1	1
Jun	May	1	7
Jul	May	1	2
Aug	May	1	4
Sep	May	1	1
Oct	May	1	1
Nov	May	1	4
Dec	May	1	6
Jan	Jun	1	4
Feb	Jun	1	3
Mar	Jun	1	1
Apr	Jun	1	2
May	Jun	1	2
Jun	Jun	1	1
Jul	Jun	1	5
Aug	Jun	1	3
Sep	Jun	1	0
Oct	Jun	1	2
Nov	Jun	1	2
Dec	Jun	1	2
Jan	Jul	1	1
Feb	Jul	1	1
Mar	Jul	1	4
Apr	Jul	1	2
May	Jul	1	1
Jun	Jul	1	1
Jul	Jul	1	2
Aug	Jul	1	1
Sep	Jul	1	3
Oct	Jul	1	5
Nov	Jul	1	4
Dec	Jul	1	3
Jan	Aug	1	7
Feb	Aug	1	1
Mar	Aug	1	4
Apr	Aug	1	5
May	Aug	1	5
Jun	Aug	1	2
Jul	Aug	1	3
Aug	Aug	1	4
Sep	Aug	1	3
Oct	Aug	1	1
Nov	Aug	1	3
Dec	Aug	1	2
Jan	Sep	1	1
Feb	Sep	1	2
Mar	Sep	1	1
Apr	Sep	1	0
May	Sep	1	5
Jun	Sep	1	1
Jul	Sep	1	1
Aug	Sep	1	2
Sep	Sep	1	7
Oct	Sep	1	1
Nov	Sep	1	1
Dec	Sep	1	5
Jan	Oct	1	2
Feb	Oct	1	5
Mar	Oct	1	1
Apr	Oct	1	2
May	Oct	1	2
Jun	Oct	1	3
Jul	Oct	1	2
Aug	Oct	1	2
Sep	Oct	1	0
Oct	Oct	1	3
Nov	Oct	1	1
Dec	Oct	1	2
Jan	Nov	1	3
Feb	Nov	1	1
Mar	Nov	1	4
Apr	Nov	1	1
May	Nov	1	1
Jun	Nov	1	4
Jul	Nov	1	0
Aug	Nov	1	3
Sep	Nov	1	3
Oct	Nov	1	2
Nov	Nov	1	5
Dec	Nov	1	5
Jan	Dec	1	3
Feb	Dec	1	6
Mar	Dec	1	3
Apr	Dec	1	2
May	Dec	1	1
Jun	Dec	1	0
Jul	Dec	1	3
Aug	Dec	1	5
Sep	Dec	1	2
Oct	Dec	1	2
Nov	Dec	1	2
Dec	Dec	1	2
Jan	Jan	2	4
Feb	Jan	2	4
Mar	Jan	2	4
Apr	Jan	2	1
May	Jan	2	2
Jun	Jan	2	3
Jul	Jan	2	2
Aug	Jan	2	2
Sep	Jan	2	2
Oct	Jan	2	5
Nov	Jan	2	3
Dec	Jan	2	1
Jan	Feb	2	4
Feb	Feb	2	0
Mar	Feb	2	7
Apr	Feb	2	7
May	Feb	2	0
Jun	Feb	2	1
Jul	Feb	2	3
Aug	Feb	2	3
Sep	Feb	2	1
Oct	Feb	2	2
Nov	Feb	2	1
Dec	Feb	2	8
Jan	Mar	2	1
Feb	Mar	2	3
Mar	Mar	2	0
Apr	Mar	2	7
May	Mar	2	2
Jun	Mar	2	4
Jul	Mar	2	6
Aug	Mar	2	3
Sep	Mar	2	4
Oct	Mar	2	2
Nov	Mar	2	6
Dec	Mar	2	4
Jan	Apr	2	6
Feb	Apr	2	1
Mar	Apr	2	1
Apr	Apr	2	2
May	Apr	2	2
Jun	Apr	2	1
Jul	Apr	2	2
Aug	Apr	2	4
Sep	Apr	2	4
Oct	Apr	2	4
Nov	Apr	2	4
Dec	Apr	2	7
Jan	May	2	1
Feb	May	2	3
Mar	May	2	5
Apr	May	2	2
May	May	2	1
Jun	May	2	1
Jul	May	2	2
Aug	May	2	3
Sep	May	2	4
Oct	May	2	5
Nov	May	2	2
Dec	May	2	4
Jan	Jun	2	3
Feb	Jun	2	2
Mar	Jun	2	4
Apr	Jun	2	4
May	Jun	2	7
Jun	Jun	2	2
Jul	Jun	2	2
Aug	Jun	2	4
Sep	Jun	2	4
Oct	Jun	2	4
Nov	Jun	2	6
Dec	Jun	2	4
Jan	Jul	2	4
Feb	Jul	2	0
Mar	Jul	2	3
Apr	Jul	2	1
May	Jul	2	1
Jun	Jul	2	3
Jul	Jul	2	2
Aug	Jul	2	1
Sep	Jul	2	1
Oct	Jul	2	1
Nov	Jul	2	1
Dec	Jul	2	4
Jan	Aug	2	5
Feb	Aug	2	2
Mar	Aug	2	2
Apr	Aug	2	5
May	Aug	2	2
Jun	Aug	2	1
Jul	Aug	2	1
Aug	Aug	2	4
Sep	Aug	2	1
Oct	Aug	2	5
Nov	Aug	2	3
Dec	Aug	2	6
Jan	Sep	2	5
Feb	Sep	2	5
Mar	Sep	2	3
Apr	Sep	2	2
May	Sep	2	1
Jun	Sep	2	3
Jul	Sep	2	1
Aug	Sep	2	3
Sep	Sep	2	2
Oct	Sep	2	4
Nov	Sep	2	4
Dec	Sep	2	2
Jan	Oct	2	5
Feb	Oct	2	2
Mar	Oct	2	1
Apr	Oct	2	3
May	Oct	2	1
Jun	Oct	2	1
Jul	Oct	2	0
Aug	Oct	2	1
Sep	Oct	2	3
Oct	Oct	2	2
Nov	Oct	2	4
Dec	Oct	2	2
Jan	Nov	2	2
Feb	Nov	2	0
Mar	Nov	2	4
Apr	Nov	2	1
May	Nov	2	2
Jun	Nov	2	1
Jul	Nov	2	2
Aug	Nov	2	2
Sep	Nov	2	2
Oct	Nov	2	3
Nov	Nov	2	0
Dec	Nov	2	0
Jan	Dec	2	4
Feb	Dec	2	2
Mar	Dec	2	1
Apr	Dec	2	4
May	Dec	2	1
Jun	Dec	2	4
Jul	Dec	2	1
Aug	Dec	2	3
Sep	Dec	2	2
Oct	Dec	2	4
Nov	Dec	2	3
Dec	Dec	2	4
Jan	Jan	3	2
Feb	Jan	3	5
Mar	Jan	3	5
Apr	Jan	3	3
May	Jan	3	3
Jun	Jan	3	5
Jul	Jan	3	3
Aug	Jan	3	1
Sep	Jan	3	4
Oct	Jan	3	8
Nov	Jan	3	1
Dec	Jan	3	4
Jan	Feb	3	4
Feb	Feb	3	3
Mar	Feb	3	3
Apr	Feb	3	1
May	Feb	3	2
Jun	Feb	3	3
Jul	Feb	3	5
Aug	Feb	3	1
Sep	Feb	3	7
Oct	Feb	3	0
Nov	Feb	3	1
Dec	Feb	3	4
Jan	Mar	3	4
Feb	Mar	3	2
Mar	Mar	3	2
Apr	Mar	3	1
May	Mar	3	5
Jun	Mar	3	1
Jul	Mar	3	0
Aug	Mar	3	4
Sep	Mar	3	3
Oct	Mar	3	2
Nov	Mar	3	6
Dec	Mar	3	1
Jan	Apr	3	4
Feb	Apr	3	3
Mar	Apr	3	3
Apr	Apr	3	3
May	Apr	3	2
Jun	Apr	3	4
Jul	Apr	3	0
Aug	Apr	3	3
Sep	Apr	3	2
Oct	Apr	3	1
Nov	Apr	3	1
Dec	Apr	3	0
Jan	May	3	4
Feb	May	3	2
Mar	May	3	7
Apr	May	3	3
May	May	3	1
Jun	May	3	4
Jul	May	3	1
Aug	May	3	3
Sep	May	3	4
Oct	May	3	1
Nov	May	3	3
Dec	May	3	4
Jan	Jun	3	2
Feb	Jun	3	0
Mar	Jun	3	4
Apr	Jun	3	5
May	Jun	3	2
Jun	Jun	3	2
Jul	Jun	3	4
Aug	Jun	3	2
Sep	Jun	3	7
Oct	Jun	3	4
Nov	Jun	3	2
Dec	Jun	3	2
Jan	Jul	3	5
Feb	Jul	3	3
Mar	Jul	3	2
Apr	Jul	3	0
May	Jul	3	6
Jun	Jul	3	3
Jul	Jul	3	3
Aug	Jul	3	0
Sep	Jul	3	0
Oct	Jul	3	5
Nov	Jul	3	2
Dec	Jul	3	1
Jan	Aug	3	3
Feb	Aug	3	2
Mar	Aug	3	4
Apr	Aug	3	1
May	Aug	3	1
Jun	Aug	3	1
Jul	Aug	3	2
Aug	Aug	3	0
Sep	Aug	3	4
Oct	Aug	3	2
Nov	Aug	3	2
Dec	Aug	3	1
Jan	Sep	3	2
Feb	Sep	3	0
Mar	Sep	3	5
Apr	Sep	3	1
May	Sep	3	4
Jun	Sep	3	4
Jul	Sep	3	1
Aug	Sep	3	3
Sep	Sep	3	3
Oct	Sep	3	4
Nov	Sep	3	2
Dec	Sep	3	3
Jan	Oct	3	4
Feb	Oct	3	3
Mar	Oct	3	0
Apr	Oct	3	1
May	Oct	3	2
Jun	Oct	3	5
Jul	Oct	3	7
Aug	Oct	3	4
Sep	Oct	3	3
Oct	Oct	3	2
Nov	Oct	3	4
Dec	Oct	3	2
Jan	Nov	3	5
Feb	Nov	3	0
Mar	Nov	3	5
Apr	Nov	3	5
May	Nov	3	5
Jun	Nov	3	2
Jul	Nov	3	1
Aug	Nov	3	3
Sep	Nov	3	2
Oct	Nov	3	1
Nov	Nov	3	3
Dec	Nov	3	5
Jan	Dec	3	6
Feb	Dec	3	3
Mar	Dec	3	4
Apr	Dec	3	5
May	Dec	3	2
Jun	Dec	3	1
Jul	Dec	3	2
Aug	Dec	3	2
Sep	Dec	3	3
Oct	Dec	3	1
Nov	Dec	3	1
Dec	Dec	3	2
Jan	Jan	4	1
Feb	Jan	4	1
Mar	Jan	4	1
Apr	Jan	4	3
May	Jan	4	2
Jun	Jan	4	2
Jul	Jan	4	2
Aug	Jan	4	0
Sep	Jan	4	0
Oct	Jan	4	1
Nov	Jan	4	0
Dec	Jan	4	0
Jan	Feb	4	0
Feb	Feb	4	0
Mar	Feb	4	0
Apr	Feb	4	0
May	Feb	4	1
Jun	Feb	4	0
Jul	Feb	4	0
Aug	Feb	4	0
Sep	Feb	4	0
Oct	Feb	4	1
Nov	Feb	4	1
Dec	Feb	4	1
Jan	Mar	4	0
Feb	Mar	4	0
Mar	Mar	4	0
Apr	Mar	4	2
May	Mar	4	1
Jun	Mar	4	0
Jul	Mar	4	2
Aug	Mar	4	0
Sep	Mar	4	0
Oct	Mar	4	0
Nov	Mar	4	1
Dec	Mar	4	1
Jan	Apr	4	0
Feb	Apr	4	1
Mar	Apr	4	0
Apr	Apr	4	0
May	Apr	4	1
Jun	Apr	4	0
Jul	Apr	4	1
Aug	Apr	4	3
Sep	Apr	4	1
Oct	Apr	4	2
Nov	Apr	4	1
Dec	Apr	4	0
Jan	May	4	1
Feb	May	4	0
Mar	May	4	2
Apr	May	4	0
May	May	4	1
Jun	May	4	1
Jul	May	4	0
Aug	May	4	0
Sep	May	4	1
Oct	May	4	0
Nov	May	4	2
Dec	May	4	0
Jan	Jun	4	2
Feb	Jun	4	0
Mar	Jun	4	1
Apr	Jun	4	0
May	Jun	4	1
Jun	Jun	4	0
Jul	Jun	4	0
Aug	Jun	4	0
Sep	Jun	4	0
Oct	Jun	4	0
Nov	Jun	4	0
Dec	Jun	4	0
Jan	Jul	4	0
Feb	Jul	4	0
Mar	Jul	4	0
Apr	Jul	4	1
May	Jul	4	1
Jun	Jul	4	0
Jul	Jul	4	0
Aug	Jul	4	1
Sep	Jul	4	0
Oct	Jul	4	1
Nov	Jul	4	0
Dec	Jul	4	1
Jan	Aug	4	0
Feb	Aug	4	0
Mar	Aug	4	0
Apr	Aug	4	0
May	Aug	4	1
Jun	Aug	4	0
Jul	Aug	4	0
Aug	Aug	4	0
Sep	Aug	4	0
Oct	Aug	4	0
Nov	Aug	4	2
Dec	Aug	4	0
Jan	Sep	4	1
Feb	Sep	4	0
Mar	Sep	4	0
Apr	Sep	4	1
May	Sep	4	1
Jun	Sep	4	0
Jul	Sep	4	1
Aug	Sep	4	0
Sep	Sep	4	0
Oct	Sep	4	0
Nov	Sep	4	0
Dec	Sep	4	0
Jan	Oct	4	0
Feb	Oct	4	1
Mar	Oct	4	0
Apr	Oct	4	3
May	Oct	4	1
Jun	Oct	4	0
Jul	Oct	4	1
Aug	Oct	4	1
Sep	Oct	4	0
Oct	Oct	4	1
Nov	Oct	4	1
Dec	Oct	4	0
Jan	Nov	4	1
Feb	Nov	4	0
Mar	Nov	4	0
Apr	Nov	4	1
May	Nov	4	1
Jun	Nov	4	0
Jul	Nov	4	1
Aug	Nov	4	0
Sep	Nov	4	1
Oct	Nov	4	1
Nov	Nov	4	1
Dec	Nov	4	0
Jan	Dec	4	0
Feb	Dec	4	2
Mar	Dec	4	1
Apr	Dec	4	1
May	Dec	4	0
Jun	Dec	4	0
Jul	Dec	4	2
Aug	Dec	4	2
Sep	Dec	4	0
Oct	Dec	4	0
Nov	Dec	4	0
Dec	Dec	4	0
