Yes	No	Dust	Race	Sex	Smoking	Work
3	37	Dust_High	White	Male	Smoker	<10
0	74	Dust_Med	White	Male	Smoker	<10
2	258	Dust_Low	White	Male	Smoker	<10
25	139	Dust_High	Race-Other	Male	Smoker	<10
0	88	Dust_Med	Race-Other	Male	Smoker	<10
3	242	Dust_Low	Race-Other	Male	Smoker	<10
0	5	Dust_High	White	Female	Smoker	<10
1	93	Dust_Med	White	Female	Smoker	<10
3	180	Dust_Low	White	Female	Smoker	<10
2	22	Dust_High	Race-Other	Female	Smoker	<10
2	145	Dust_Med	Race-Other	Female	Smoker	<10
3	260	Dust_Low	Race-Other	Female	Smoker	<10
0	16	Dust_High	White	Male	Non-smoker	<10
0	35	Dust_Med	White	Male	Non-smoker	<10
0	134	Dust_Low	White	Male	Non-smoker	<10
6	75	Dust_High	Race-Other	Male	Non-smoker	<10
1	47	Dust_Med	Race-Other	Male	Non-smoker	<10
1	122	Dust_Low	Race-Other	Male	Non-smoker	<10
0	4	Dust_High	White	Female	Non-smoker	<10
1	54	Dust_Med	White	Female	Non-smoker	<10
2	169	Dust_Low	White	Female	Non-smoker	<10
1	24	Dust_High	Race-Other	Female	Non-smoker	<10
3	142	Dust_Med	Race-Other	Female	Non-smoker	<10
4	301	Dust_Low	Race-Other	Female	Non-smoker	<10
8	21	Dust_High	White	Male	Smoker	10--20
1	50	Dust_Med	White	Male	Smoker	10--20
1	187	Dust_Low	White	Male	Smoker	10--20
8	30	Dust_High	Race-Other	Male	Smoker	10--20
0	5	Dust_Med	Race-Other	Male	Smoker	10--20
0	33	Dust_Low	Race-Other	Male	Smoker	10--20
0	0	Dust_High	White	Female	Smoker	10--20
1	33	Dust_Med	White	Female	Smoker	10--20
2	94	Dust_Low	White	Female	Smoker	10--20
0	0	Dust_High	Race-Other	Female	Smoker	10--20
0	4	Dust_Med	Race-Other	Female	Smoker	10--20
0	3	Dust_Low	Race-Other	Female	Smoker	10--20
2	8	Dust_High	White	Male	Non-smoker	10--20
1	16	Dust_Med	White	Male	Non-smoker	10--20
0	58	Dust_Low	White	Male	Non-smoker	10--20
1	9	Dust_High	Race-Other	Male	Non-smoker	10--20
0	0	Dust_Med	Race-Other	Male	Non-smoker	10--20
0	7	Dust_Low	Race-Other	Male	Non-smoker	10--20
0	0	Dust_High	White	Female	Non-smoker	10--20
0	30	Dust_Med	White	Female	Non-smoker	10--20
1	90	Dust_Low	White	Female	Non-smoker	10--20
0	0	Dust_High	Race-Other	Female	Non-smoker	10--20
0	4	Dust_Med	Race-Other	Female	Non-smoker	10--20
0	4	Dust_Low	Race-Other	Female	Non-smoker	10--20
31	77	Dust_High	White	Male	Smoker	>20
1	141	Dust_Med	White	Male	Smoker	>20
12	495	Dust_Low	White	Male	Smoker	>20
10	31	Dust_High	Race-Other	Male	Smoker	>20
0	1	Dust_Med	Race-Other	Male	Smoker	>20
0	45	Dust_Low	Race-Other	Male	Smoker	>20
0	1	Dust_High	White	Female	Smoker	>20
3	91	Dust_Med	White	Female	Smoker	>20
3	176	Dust_Low	White	Female	Smoker	>20
0	1	Dust_High	Race-Other	Female	Smoker	>20
0	0	Dust_Med	Race-Other	Female	Smoker	>20
0	2	Dust_Low	Race-Other	Female	Smoker	>20
5	47	Dust_High	White	Male	Non-smoker	>20
0	39	Dust_Med	White	Male	Non-smoker	>20
3	182	Dust_Low	White	Male	Non-smoker	>20
3	15	Dust_High	Race-Other	Male	Non-smoker	>20
0	1	Dust_Med	Race-Other	Male	Non-smoker	>20
0	23	Dust_Low	Race-Other	Male	Non-smoker	>20
0	2	Dust_High	White	Female	Non-smoker	>20
3	187	Dust_Med	White	Female	Non-smoker	>20
2	340	Dust_Low	White	Female	Non-smoker	>20
0	0	Dust_High	Race-Other	Female	Non-smoker	>20
0	2	Dust_Med	Race-Other	Female	Non-smoker	>20
0	3	Dust_Low	Race-Other	Female	Non-smoker	>20
