     1         1    1    59.3 4.5  38.4 295 
     1         1    2    60.3 3.5  38.6 302 
     1         1    3    60.9 5.3  37.2 318 
     1         1    4    60.6 5.8  38.1 345 
     1         1    5    60.4 6.0  38.8 325 
     1         2    1    59.3 6.7  37.9 275 
     1         2    2    59.4 4.8  36.6 290 
     1         2    2    60.0 5.1  38.7 295 
     1         2    4    58.9 5.8  37.5 296 
     1         2    5    59.5 4.8  37.0 330 
     1         3    1    59.4 5.1  38.7 299 
     1         3    2    60.2 5.3  37.0 315 
     1         3    3    60.7 6.4  37.4 304 
     1         3    4    60.5 7.1  37.0 302 
     1         3    5    60.1 7.8  36.9 308 
     2         1    1    63.7 5.4  39.5 271 
     2         1    2    64.1 5.4  39.2 284 
     2         1    3    63.4 5.4  39.0 281 
     2         1    4    63.2 5.3  39.0 291 
     2         1    5    63.2 5.0  39.0 270 
     2         2    1    60.6 6.8  38.1 248 
     2         2    2    61.0 6.5  38.6 264 
     2         2    3    60.7 6.8  38.8 257 
     2         2    4    60.6 7.1  38.6 260 
     2         2    5    60.3 6.0  38.5 261 
     2         3    1    63.8 5.7  40.5 282 
     2         3    2    63.2 6.1  40.2 284 
     2         3    3    63.3 6.0  40.0 291 
     2         3    4    63.2 5.9  40.0 299 
     2         3    5    63.1 5.4  39.7 295 
     3         1    1    68.1 3.4  42.2 280 
     3         1    2    68.0 2.9  42.4 284 
     3         1    3    68.5 3.3  41.5 286 
     3         1    4    68.6 3.1  41.9 284 
     3         1    5    68.6 3.3  42.1 268 
     3         2    1    64.0 3.6  40.9 233 
     3         2    2    63.4 3.9  41.4 248 
     3         2    3    63.5 3.7  41.6 244 
     3         2    4    63.4 3.7  41.4 266 
     3         2    5    63.5 4.1  41.1 244 
     3         3    1    68.0 3.7  42.3 293 
     3         3    2    68.7 3.5  41.6 284 
     3         3    3    68.7 3.8  40.7 277 
     3         3    4    68.4 3.5  42.0 299 
     3         3    5    68.6 3.4  42.4 285 
     4         1    1    69.8 1.4  48.4 265 
     4         1    2    69.5 1.3  47.8 247 
     4         1    3    69.5 1.3  46.9 231 
     4         1    4    69.9 1.3  47.5 268 
     4         1    5    70.3 1.1  47.1 247 
     4         2    1    66.6 1.8  45.7 205 
     4         2    2    66.5 1.7  46.8 239 
     4         2    3    67.1 1.7  46.3 230 
     4         2    4    65.8 1.8  46.3 235 
     4         2    5    65.6 1.9  46.1 220 
     4         3    1    70.1 1.7  48.1 253 
     4         3    2    72.3 0.7  47.8 249 
     4         3    3    69.7 1.5  46.7 226 
     4         3    4    69.9 1.3  47.1 248 
     4         3    5    69.8 1.4  46.7 236 
