1 1 117.0 117.5 118.5 59.0  59.0 60.0  10.5 16.5  16.5
2 1 109.0 110.5 111.0 60.0  61.5 61.5  30.5 30.5  30.5
3 1 117.0 120.0 120.5 60.0  61.5 62.0  23.5 23.5  23.5
4 1 122.0 126.0 127.0 67.5  70.5 71.5  33.0 32.0  32.5
5 1 116.0 118.5 119.5 61.5  62.5 63.5  24.5 24.5  24.5
6 1 123.0 126.0 127.0 65.5  61.5 67.5  22.0 22.0  22.0
7 1 130.5 132.0 134.5 68.5  69.5 71.0  33.0 32.5  32.0
8 1 126.5 128.5 130.5 69.0  71.0 73.0  20.0 20.0  20.0
9 1 113.0 116.5 118.0 58.0  59.0 60.5  25.0 24.5  24.5
1 2 128.0 129.0 131.5 67.0  67.5 69.0  24.0 24.0  24.0
2 2 116.5 120.0 121.5 63.5  65.0 66.0  28.5 29.5  29.5
3 2 121.5 125.5 127.0 64.5  67.5 69.0  26.5 27.0  27.0
4 2 109.5 112.0 114.0 54.0  55.5 57.0  18.0 18.5  19.0
5 2 133.0 136.0 137.5 72.0  73.5 75.5  34.5 34.5  34.5
6 2 120.0 124.5 126.0 62.5  65.0 66.0  26.0 26.0  26.0
7 2 129.5 133.5 134.5 65.0  68.0 69.0  18.5 18.5  18.5
8 2 122.0 124.0 125.5 64.5  65.5 66.0  18.5 18.5  18.5
9 2 125.0 127.0 128.0 65.5  66.5 67.0  21.5 21.5  21.6
